20, 14383
11, 2423
138, 920
212, 14921
37, 5962
141, 921
39, 1391
8, 5890
95, 3810
22, 1804
57, 673
174, 2305
71, 2260
73, 2119
266, 6782
367, 751
233, 1817
12, 2396
173, 4155
40, 8665
33, 9225
44, 4996
10, 2728
4, 2988
167, 3802
48, 5428
9, 1841
126, 3674
120, 2647
33, 5736
18, 7693
70, 126
78, 132
66, 1942
183, 5062
58, 2234
119, 3896
68, 3835
34, 5243
9, 3030
53, 6949
21, 3665
40, 2275
38, 2440
3, 4954
17, 5010
111, 10205
45, 4354
169, 4119
584, 3282
196, 1962
36, 3500
846, 960
234, 2295
110, 1824
47, 8977
16, 6109
354, 3460
33, 1008
444, 3769
526, 2723
132, 7762
565, 1611
771, 3727
659, 3992
223, 5696
258, 5785
13, 5818
247, 1215
135, 1858
169, 298
313, 1472
24, 1623
589, 4135
809, 3887
795, 968
689, 2186
585, 3619
1120, 1157
1319, 4560
1064, 7539
1912, 10507
3600, 885
603, 3940
963, 4118
218, 11587
16, 90
1466, 3937
334, 883
78, 1685
136, 4287
267, 31
43, 1288
200, 14580
60, 286
17, 4847
896, 212
103, 1233
72, 1327
88, 9824
544, 1169
257, 345
24, 15218
26, 4393
283, 14910
240, 14065
349, 3995
1, 4483
611, 1760
225, 1026
123, 4360
615, 1041
142, 4210
177, 4326
107, 6723
14, 2410
379, 3640
286, 923
232, 7808
133, 3986
2, 7512
6, 1395
202, 3863
62, 1575
43, 2669
260, 7706
73, 946
17, 7773
84, 2874
181, 2519
63, 1951
103, 904
162, 1537
21, 3697
62, 3878
36, 813
14, 1472
76, 6319
118, 924
18, 1451
78, 1376
51, 9453
83, 2240
8, 7653
275, 3539
36, 1283
0, 889
0, 2911
193, 8128
25, 7327
256, 1279
5, 945
5, 4408
42, 3865
17, 1903
108, 6930
35, 5280
81, 6693
25, 2709
87, 3550
3, 3759
40, 3532
36, 6592
58, 4178
45, 2973
23, 7545
36, 2208
15, 6707
40, 1031
67, 1925
142, 665
29, 4496
115, 43
60, 6062
43, 3770
67, 915
129, 2689
14, 205
198, 6123
52, 3422
77, 1286
26, 4268
170, 6432
243, 2324
81, 3700
20, 5436
84, 2907
62, 2382
409, 5973
26, 1356
38, 3317
15, 4183
5, 4305
45, 2162
26, 3194
0, 5807
56, 1521
96, 2340
30, 1640
138, 3902
152, 339
31, 7420
74, 3824
112, 2362
49, 3922
21, 876
25, 1068
35, 7756
216, 3651
25, 8562
22, 3604
0, 892
0, 888
6, 1854
116, 14884
68, 4106
23, 327
3, 8604
128, 9534
25, 5608
59, 1227
122, 4456
57, 2655
80, 9414
2, 1723
21, 7742
1, 1637
90, 3011
23, 1523
49, 3519
27, 5778
0, 4149
77, 1748
27, 4091
24, 5004
104, 1494
84, 2879
19, 943
6, 2742
39, 2425
13, 4031
21, 3103
191, 2973
21, 241
10, 1282
18, 1622
147, 5730
99, 6382
0, 1900
37, 3786
2, 5654
94, 3740
159, 4603
211, 3433
48, 5541
128, 3824
25, 2718
28, 3771
35, 1684
21, 3136
4, 10995
3, 2457
86, 3624
2, 7224
17, 7578
0, 14380
113, 2408
107, 7425
132, 2191
413, 2038
100, 3638
35, 3604
158, 6135
37, 2458
7, 4303
2, 1566
31, 8852
47, 1643
117, 1549
56, 1108
24, 492
17, 3756
66, 7649
271, 626
67, 6503
0, 4474
0, 924
67, 15233
57, 1340
164, 3386
139, 7677
82, 3570
62, 8453
41, 1518
96, 3678
7, 642
99, 1948
24, 2123
24, 8168
38, 14403
25, 1792
58, 1957
100, 4321
24, 15115
8, 5012
99, 2077
33, 2188
27, 4834
106, 2218
36, 7238
13, 2250
6, 12055
78, 1054
287, 3645
0, 7204
0, 895
26, 1778
5, 1807
99, 4939
103, 4718
12, 7570
31, 3166
63, 1883
47, 4691
95, 4685
4, 6325
297, 3723
30, 3692
68, 5963
20, 6378
14, 4892
30, 2022
72, 137
2, 2572
45, 18741
24, 787
2, 1541
30, 1687
40, 2979
4, 422
9, 159
54, 13460
14, 7763
70, 432
25, 3562
