4137, 937
30212, 11530
2807, 5404
1492, 5740
2261, 3813
1367, 20522
295, 9328
1646, 14906
1424, 2474
6283, 8101
238, 4403
571, 20231
2350, 4465
1757, 1709
2560, 4382
1169, 2150
1081, 10973
1110, 15263
1654, 1265
1088, 18819
537, 9674
2353, 5409
219, 8591
2449, 7548
203, 617
1723, 1673
2741, 184
3169, 9025
2124, 13276
2168, 17478
5294, 2337
8856, 2144
3527, 14961
1792, 14998
8785, 18337
4945, 11336
3745, 14591
1985, 1330
4814, 1423
2147, 1628
349, 12227
105, 11073
1138, 20881
945, 1592
327, 15753
451, 11038
1545, 1343
45, 15140
6786, 3318
2839, 51
670, 3945
4065, 7081
1104, 929
2129, 1567
2727, 11913
366, 980
1000, 963
2791, 3018
1644, 15118
1653, 8213
518, 14743
333, 3583
7379, 3488
3891, 4045
603, 3429
3593, 2395
12663, 8360
530, 4751
16955, 1795
130, 3004
1065, 15307
1964, 1968
1213, 4028
1077, 1554
1816, 3593
880, 1328
3583, 8215
5186, 2158
2702, 14892
313, 3173
1410, 4157
1944, 2800
2534, 1760
2322, 5263
8, 1231
2581, 26290
1543, 1008
3062, 3667
3930, 53
62, 2171
393, 2283
2950, 1469
5267, 3246
34389, 6114
4729, 14204
491, 3938
1640, 9667
1009, 2525
552, 2535
1616, 7222
2226, 1302
365, 3271
3273, 10924
634, 10691
1092, 14930
675, 15155
434, 326
2166, 2654
268, 2192
2709, 233
238, 9339
806, 3009
1834, 2201
484, 15222
1180, 901
1363, 208
2996, 1579
784, 7137
3242, 3241
1883, 1474
733, 7535
941, 1500
1193, 8102
297, 14979
4, 1805
349, 4642
2617, 4844
1018, 2065
4607, 3708
3630, 249
252, 1641
984, 14570
1030, 1656
286, 8046
2316, 2605
6210, 1846
10111, 18209
7986, 14698
998, 14625
851, 3874
3950, 4423
295, 8264
1967, 3961
2035, 14528
257, 895
4018, 1017
1484, 932
1291, 1862
668, 1007
690, 3046
2760, 91
101, 11049
188, 1972
646, 5306
73, 20356
65, 1294
1347, 477
474, 919
1038, 2062
4710, 4176
1029, 4129
1668, 1824
3213, 1901
5508, 7785
1346, 4546
1161, 1847
1102, 1269
79, 5894
3755, 206
229, 1772
10194, 1361
5119, 21686
563, 1137
3729, 3721
4703, 1267
5040, 3242
8746, 3861
3097, 1710
3141, 14996
3884, 4621
1371, 8703
1252, 2955
572, 2399
1284, 1289
406, 2736
478, 1850
628, 238
763, 4879
472, 9045
5145, 14925
1257, 1285
2055, 3272
2010, 21497
3119, 2627
586, 1883
3252, 8470
2008, 916
58, 14996
930, 14961
1063, 21101
149, 2161
463, 18925
118, 319
330, 948
960, 9423
8, 9541
7516, 9632
305, 4751
3830, 11191
2911, 3007
5407, 7205
21871, 1016
329, 1218
1626, 7216
532, 2889
4333, 621
1909, 1678
156, 2394
2105, 283
283, 25362
235, 1333
449, 3978
3365, 3969
2542, 504
538, 451
19, 2019
480, 1542
1008, 14925
599, 921
1010, 2428
567, 7350
1922, 14483
2951, 2083
2427, 14449
7146, 5275
3087, 3869
1641, 7269
1654, 3621
1157, 15063
289, 1894
5, 13029
3084, 1599
1449, 3356
1401, 8982
67, 617
729, 10866
767, 3573
5886, 928
309, 8636
726, 4719
7593, 15255
10532, 2974
13394, 14734
1773, 1577
1845, 3911
1195, 396
4483, 2651
32, 1858
633, 14101
1095, 1897
38, 930
395, 9605
560, 8648
1685, 1560
206, 1243
1027, 1829
1087, 1758
361, 14518
403, 3100
610, 1228
3798, 4307
859, 7874
2593, 3773
308, 9215
2040, 3466
493, 4315
7105, 15209
660, 14545
56, 235
56, 1820
76, 2064
644, 10068
187, 1854
1146, 1670
294, 1693
5076, 912
1193, 147
171, 6419
1180, 490
1019, 4131
1493, 6132
6806, 923
1130, 3291
1198, 122
148, 4457
2440, 3387
3946, 2882
7441, 7648
10813, 8246
5101, 7711
233, 10331
1775, 1274
1918, 6413
667, 7843
704, 2223
2129, 974
956, 4031
253, 1200
1063, 3352
2310, 16627
770, 4158
872, 142
148, 4038
40, 1440
1768, 6341
1582, 1850
340, 14708
321, 8064
223, 93
77, 4144
70, 1309
1871, 1872
1519, 7927
682, 1905
128, 3301
3765, 2136
2262, 3790
1062, 3629
2802, 8035
418, 1874
1526, 2719
1120, 14862
816, 7746
1611, 5068
910, 15125
692, 16209
3469, 2441
1522, 1838
3703, 1265
3040, 2171
323, 6990
1294, 1624
3270, 1017
652, 3022
492, 3296
799, 1651
9719, 257
273, 2604
14897, 3498
4805, 6205
620, 13635
2957, 14958
3641, 10443
184, 628
469, 8450
241, 2367
553, 1870
2461, 14112
610, 629
272, 13859
286, 1855
438, 404
363, 3757
66, 1430
202, 2545
824, 4664
4378, 17343
1043, 4504
219, 11137
2270, 5965
1334, 3501
939, 7423
56, 3433
948, 1647
277, 1293
258, 1636
1649, 1977
1290, 2239
1037, 14060
2967, 2363
1383, 86
97, 3414
1206, 5757
1293, 14270
418, 1068
602, 1386
828, 1744
1760, 1084
713, 4529
432, 1962
1330, 361
403, 1371
3122, 4977
72, 3414
2512, 241
253, 159
1159, 4801
1956, 624
1319, 511
